OBJECTID,TYPE,YEAR,DATE_,TIME,CCN,AGE,OFFENSE_DISTRICT,OFFENSE_PSA,OFFENSE_BLOCKX,OFFENSE_BLOCKY,DEFENDANT_PSA,DEFENDANT_DISTRICT,RACE,ETHNICITY,SEX,CATEGORY,DESCRIPTION,ADDRESS,ARREST_BLOCKX,ARREST_BLOCKY,DATETIME
3615,Possession,2013,2013/01/08 05:00:00+00,22:00:00,b'\xbdj<L\xd4x\xbf',24,4D,405,399300,141600,Out of State,Out of State,B ,N ,F,Narcotics,Ucsa Poss Marijuana,CLERMONT DR NE / NORTH CAPITOL ST,399300,141600,2013/01/09 03:00:00+00
3616,Possession with intent to distribute,2013,2013/01/08 05:00:00+00,Juvenile,Juvenile,Juvenile,1D,105,0,0,105,1D,Juvenile,Juvenile,Juvenile,Narcotics,Poss W/i To Dist Marijuana-misd,Juvenile,0,0,2013/01/08 05:00:00+00
3617,Possession,2013,2013/01/09 05:00:00+00,16:44:00,b'jm\xa2\xa3\xcc$o',22,3D,304,397800,139600,304,3D,B ,U ,M,Narcotics,Ucsa Poss Marijuana,700 BLOCK OF FAIRMONT ST NW,397800,139600,2013/01/09 21:44:00+00
3618,Possession,2013,2013/01/09 05:00:00+00,17:30:00,b'B\x10\xd2Rh\x1a\x0f',30,3D,302,398100,140500,505,5D,B ,U ,M,Narcotics,Ucsa Poss Marijuana,600 BLOCK OF PARK RD NW,398100,140500,2013/01/09 22:30:00+00
3619,Possession,2013,2013/01/09 05:00:00+00,18:06:00,b'\x9a@\x05\x94&\x81m',33,4D,408,396800,140900,108,1D,B ,N ,F,Narcotics,Ucsa Poss Marijuana,3600 BLOCK OF 16TH ST NW,396800,140900,2013/01/09 23:06:00+00
3620,Possession,2013,2013/01/09 05:00:00+00,18:06:00,b'\x9a@\x05\x94&\x81m',36,4D,408,396800,140900,304,3D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,3600 BLOCK OF 16TH ST NW,396800,140900,2013/01/09 23:06:00+00
3621,Possession with intent to distribute,2013,2013/01/09 05:00:00+00,19:45:00,b'[\xd6&\xb8x?\xab',22,6D,604,406300,134700,604,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,5100 BLOCK OF FITCH ST SE,406300,134700,2013/01/10 00:45:00+00
3622,Possession with intent to distribute,2013,2013/01/09 05:00:00+00,19:45:00,b'[\xd6&\xb8x?\xab',22,6D,604,406300,134700,604,6D,B ,N ,F,Narcotics,Ucsa Pwid Marijuana,5100 BLOCK OF FITCH ST SE,406300,134700,2013/01/10 00:45:00+00
3623,Possession,2013,2013/01/09 05:00:00+00,19:55:00,b'f::\xd7\x10\xe0b',23,7D,703,400600,132700,603,6D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,2400 BLOCK OF MARTIN LUTHER KING JR AVE SE,400600,132700,2013/01/10 00:55:00+00
3624,Possession,2013,2013/01/09 05:00:00+00,20:34:00,b'\xb0\x9c\x96\xbf\x12\xee\xb3',33,4D,404,397800,141100,407,4D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,9TH ST NW / QUINCY ST NW,397800,141100,2013/01/10 01:34:00+00
3625,Possession,2013,2013/01/09 05:00:00+00,21:15:00,b'2\xbd\xd7\r\x88\xf1\xd1',36,1D,108,401700,136200,607,6D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,1700 BLOCK OF C ST NE,401700,136200,2013/01/10 02:15:00+00
3626,Possession with intent to distribute,2013,2013/01/09 05:00:00+00,21:50:00,b't\xc1\xef5\x86LY',19,7D,705,400500,130200,,,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,3500 BLOCK OF WHEELER RD SE,400500,130200,2013/01/10 02:50:00+00
3627,Possession,2013,2013/01/09 05:00:00+00,23:34:00,b'\xa1B\xa8\xd1\xc5:\xff',27,3D,304,397200,139700,304,3D,B ,U ,M,Narcotics,Ucsa Poss Marijuana,1400 BLOCK OF GIRARD ST NW,397200,139700,2013/01/10 04:34:00+00
3628,Possession,2013,2013/01/10 05:00:00+00,1:00:00,b'\x0cO\x95\x16~~\xf9',35,5D,503,402900,139600,701,7D,B ,U ,M,Narcotics,Ucsa Poss Marijuana,2700 BLOCK OF 30TH ST NE,402900,139600,2013/01/10 06:00:00+00
3629,Possession with intent to distribute,2013,2013/01/10 05:00:00+00,3:12:00,b'TO\xe2\xfd\x82A\x0f',26,6D,602,406400,136500,Out of State,Out of State,B ,N ,F,Narcotics,Ucsa Pwid Marijuana,500 BLOCK OF DIVISION AVE NE,406400,136500,2013/01/10 08:12:00+00
3630,Possession,2013,2013/01/10 05:00:00+00,14:51:00,b'\x03\xea\x0e\x88n4U',29,5D,507,401800,137500,507,5D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,1600 BLOCK OF M ST NE,396800,137500,2013/01/10 19:51:00+00
3631,Possession with intent to distribute,2013,2013/01/10 05:00:00+00,19:10:00,b'\xcd\x8f\x8aE=>\xbb',23,7D,708,399400,129300,708,7D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,4000 BLOCK OF SOUTH CAPITOL ST,399400,129300,2013/01/11 00:10:00+00
3632,Possession,2013,2013/01/10 05:00:00+00,19:49:00,b'U\x8fX\x03z\xde/',25,1D,101,397200,137100,101,1D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,14TH ST NW / I ST NW,397200,137100,2013/01/11 00:49:00+00
3633,Possession,2013,2013/01/10 05:00:00+00,21:20:00,b'\x99\x08\xb1\xa3(\x0e%',30,1D,104,400200,136900,504,5D,B ,U ,M,Narcotics,Ucsa Poss Marijuana,600 BLOCK OF H ST NW,400200,136900,2013/01/11 02:20:00+00
3634,Possession,2013,2013/01/10 05:00:00+00,21:54:00,b'1\xea%\xb5\xb0\xf0\xc0',24,4D,405,401000,142600,405,4D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,1200 BLOCK OF FARRAGUT PL NE,401000,142600,2013/01/11 02:54:00+00
3635,Possession with intent to distribute,2013,2013/01/10 05:00:00+00,22:01:00,b'LxU\x88\xb9\xdao',20,7D,705,401000,130600,407,4D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,1300 BLOCK OF SAVANNAH ST SE,401000,130600,2013/01/11 03:01:00+00
3636,Possession,2013,2013/01/10 05:00:00+00,22:06:00,b'\xdf\x14\xdb\xb0\\NT',19,3D,305,397000,139200,704,7D,B ,U ,M,Narcotics,Ucsa Poss Marijuana,2300 BLOCK OF 15TH ST NW,397000,139200,2013/01/11 03:06:00+00
3637,Possession,2013,2013/01/10 05:00:00+00,22:42:00,b'\x14\xcf0\x01\x8c\xf8D',27,3D,304,398000,139700,Out of State,Out of State,B ,U ,M,Narcotics,Ucsa Poss Marijuana,700 BLOCK OF FAIRMONT ST NW,398000,139700,2013/01/11 03:42:00+00
3638,Possession with intent to distribute,2013,2013/01/10 05:00:00+00,23:00:00,b'5\x8f9\xd2=\xde\xf3',44,4D,405,401000,142600,707,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,1200 BLOCK OF FARRAGUT PL NE,401000,142600,2013/01/11 04:00:00+00
3639,Possession,2013,2013/01/11 05:00:00+00,11:30:00,b'\x87\xab\xd4T\x06\x1fj',29,6D,608,406700,136300,602,6D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,500 BLOCK OF INDIANA AVE NW,398400,136200,2013/01/11 16:30:00+00
3640,Possession,2013,2013/01/11 05:00:00+00,16:26:00,"b'\xfcI""*\xe9^\x00'",23,6D,604,406600,135400,701,7D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,53RD PL SE / CENTRAL AVE SE,406600,135400,2013/01/11 21:26:00+00
3641,Possession with intent to distribute,2013,2013/01/11 05:00:00+00,16:27:00,b'${=\x08\xcbl>',22,3D,305,397900,139200,Out of State,Out of State,B ,N ,M,Narcotics,Poss W/i To Dist Marijuana-fel,2200 BLOCK OF SHERMAN AVE NW,397900,139200,2013/01/11 21:27:00+00
3642,Possession with intent to distribute,2013,2013/01/11 05:00:00+00,17:44:00,b'\x93\x1d\xf0qmCd',51,6D,608,406600,136200,507,5D,B ,N ,F,Narcotics,Ucsa Pwid Marijuana,300 BLOCK OF 54TH ST NE,406600,136200,2013/01/11 22:44:00+00
3643,Possession,2013,2013/01/11 05:00:00+00,18:04:00,b'9\xe2\x98\xe37@\x9c',23,4D,404,397800,141500,402,4D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,4100 BLOCK OF GEORGIA AVE NW,397800,141500,2013/01/11 23:04:00+00
3644,Possession,2013,2013/01/11 05:00:00+00,19:40:00,b'\xb2\xac\x0c\xcf\xd0\xa9\x97',36,4D,409,397900,140600,602,6D,B ,U ,M,Narcotics,Ucsa Poss Marijuana,3500 BLOCK OF GEORGIA AVE NW,397900,140600,2013/01/12 00:40:00+00
3645,Possession with intent to distribute,2013,2013/01/11 05:00:00+00,21:00:00,b'P\x8e\xb0\x89\xbc\xc9\xc5',41,3D,304,398000,139800,302,3D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,2700 BLOCK OF GEORGIA AVE NW,398000,139800,2013/01/12 02:00:00+00
3646,Possession,2013,2013/01/11 05:00:00+00,21:20:00,b'u\xe2\xd1\xb9U\xa8P',34,6D,605,405300,134700,Out of State,Out of State,B ,U ,M,Narcotics,Ucsa Poss Marijuana,ALABAMA AVE SE / G ST SE,405300,134700,2013/01/12 02:20:00+00
3647,Possession,2013,2013/01/12 05:00:00+00,1:12:00,"b'Q""\x1a\x01\xfd6\xba'",22,7D,706,401600,129900,Out of State,Out of State,B ,U ,M,Narcotics,Ucsa Poss Marijuana,1300 BLOCK OF SOUTHERN AVE SE,401600,129900,2013/01/12 06:12:00+00
3648,Possession,2013,2013/01/12 05:00:00+00,1:29:00,b'\xf7\xde3:\xb4\r\x87',18,2D,208,395900,138000,Out of State,Out of State,W ,N ,M,Narcotics,Ucsa Poss Marijuana,2100 BLOCK OF P ST NW,395900,138000,2013/01/12 06:29:00+00
3649,Possession,2013,2013/01/12 05:00:00+00,7:27:00,b'\xf5\xebt\xbe\x9bP\x8a',32,6D,605,403600,133500,706,7D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,3300 BLOCK OF CARPENTER ST SE,403600,133500,2013/01/12 12:27:00+00
3650,Possession,2013,2013/01/12 05:00:00+00,15:50:00,"b',\x17\xa3\xa1\x15\xe9]'",22,5D,507,402200,136900,507,5D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,800 BLOCK OF 21ST ST NE,402200,136900,2013/01/12 20:50:00+00
3651,Possession,2013,2013/01/12 05:00:00+00,17:00:00,b'\xdc&u\x12\xee!\xe0',30,1D,108,402000,135500,507,5D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,200 BLOCK OF 19TH ST SE,402000,135500,2013/01/12 22:00:00+00
3652,Possession,2013,2013/01/12 05:00:00+00,18:11:00,b'V\xf5\x1b\x10M\x9cp',32,6D,603,403900,136400,603,6D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,3400 BLOCK OF EADS ST NE,403900,136400,2013/01/12 23:11:00+00
3653,Possession,2013,2013/01/12 05:00:00+00,20:10:00,b'\xf5\x03\x86\xdb{\x15T',28,6D,607,404000,133000,Out of State,Out of State,B ,U ,F,Narcotics,Ucsa Poss Marijuana,3700 BLOCK OF ALABAMA AVE SE,404000,133000,2013/01/13 01:10:00+00
3654,Possession,2013,2013/01/12 05:00:00+00,20:12:00,"b'(""*\x08\r\x93\xbf'",23,1D,104,400800,137000,,,B ,U ,M,Narcotics,Ucsa Poss Marijuana,1100 BLOCK OF H ST NE,400800,137000,2013/01/13 01:12:00+00
3655,Possession,2013,2013/01/12 05:00:00+00,23:38:00,b'\xd1\xc7p\xd3\x1e\xad\x14',23,7D,704,401800,130600,,,B ,N ,M,Narcotics,Ucsa Poss Marijuana,3500 BLOCK OF STANTON RD SE,401800,130600,2013/01/13 04:38:00+00
3656,Possession,2013,2013/01/13 05:00:00+00,15:41:00,b'\x13_\xe7C\xba\x86\xff',25,7D,703,400400,132200,703,7D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,2600 BLOCK OF MARTIN LUTHER KING JR AVE SE,400400,132200,2013/01/13 20:41:00+00
3657,Possession with intent to distribute,2013,2013/01/13 05:00:00+00,21:11:00,b'\xfd\x13\x11\x12&\xea{',18,1D,101,397200,137200,Out of State,Out of State,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,14TH ST NW / K ST NW,397200,137200,2013/01/14 02:11:00+00
3658,Possession,2013,2013/01/15 05:00:00+00,18:37:00,b'~x\x11\xa1\x1b\x90\x8c',50,3D,302,397400,140300,302,3D,B ,U ,M,Narcotics,Ucsa Poss Marijuana,13TH ST NW / PARK RD NW,397400,140400,2013/01/15 23:37:00+00
3659,Possession with intent to distribute,2013,2013/01/16 05:00:00+00,18:00:00,b'\x11m\x11\xfe\xe9\x9e\xed',45,4D,404,397600,141800,404,4D,B ,N ,F,Narcotics,Ucsa Pwid Marijuana,4400 BLOCK OF IOWA AVE NW,397600,141800,2013/01/16 23:00:00+00
3660,Possession,2013,2013/01/16 05:00:00+00,20:05:00,"b""\xfe'CT\x9b8D""",50,5D,506,400900,137500,103,1D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,1100 BLOCK OF NEAL ST NE,400800,137500,2013/01/17 01:05:00+00
3661,Possession,2013,2013/01/16 05:00:00+00,21:11:00,b'\xe2\xbf\xc8\xc7R\xb9T',48,1D,104,400700,136600,Out of State,Out of State,W ,N ,M,Narcotics,Ucsa Poss Marijuana,11TH ST NE / MARYLAND AVE NE,400700,136600,2013/01/17 02:11:00+00
3662,Possession,2013,2013/01/16 05:00:00+00,22:12:00,b'\xd8\xee\xba\xc8\xf9C#',43,3D,304,398000,139800,Out of State,Out of State,W ,U ,M,Narcotics,Ucsa Poss Marijuana,2800 BLOCK OF GEORGIA AVE NW,398000,139800,2013/01/17 03:12:00+00
3663,Possession,2013,2013/01/16 05:00:00+00,22:39:00,b'\xf4\x92\xb35\x12\xf7\xb6',27,6D,603,404800,135800,602,6D,B ,U ,M,Narcotics,Ucsa Poss Marijuana,4100 BLOCK OF EAST CAPITOL ST NE,404800,135800,2013/01/17 03:39:00+00
3664,Possession,2013,2013/01/17 05:00:00+00,0:25:00,b'\xea5\xd6\xa0\xc5\x0fm',18,5D,501,398800,139000,306,3D,B ,U ,M,Narcotics,Ucsa Poss Marijuana,2200 BLOCK OF FLAGLER PL NW,398800,139000,2013/01/17 05:25:00+00
3665,Possession with intent to distribute,2013,2013/01/17 05:00:00+00,11:45:00,b'\x8d\xa3=\xa0=\xd8\x8d',21,2D,207,396400,137000,105,1D,B ,U ,M,Narcotics,Poss W/i To Dist Marijuana-misd,1700 BLOCK OF I ST NW,396400,137000,2013/01/17 16:45:00+00
3666,Possession,2013,2013/01/17 05:00:00+00,16:49:00,b'\xab<\xc1\xfa \x14\xeb',36,5D,502,399700,139200,502,5D,B ,U ,M,Narcotics,Ucsa Poss Marijuana,200 BLOCK OF ADAMS ST NE,399700,139200,2013/01/17 21:49:00+00
3667,Possession with intent to distribute,2013,2013/01/17 05:00:00+00,17:16:00,b'p\x9cNbe\xf0\x0c',18,3D,306,398200,139100,,,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,600 BLOCK OF BRYANT ST NW,398200,139100,2013/01/17 22:16:00+00
3668,Distribution,2013,2013/01/17 05:00:00+00,17:43:00,b'\x92\xa1~\x84\x0b\xc0F',29,4D,409,397900,140500,302,3D,B ,N ,M,Narcotics,Ucsa Dist Marijuana,GEORGIA AVE NW / PARK RD NW,397900,140500,2013/01/17 22:43:00+00
3669,Possession with intent to distribute,2013,2013/01/17 05:00:00+00,18:11:00,b'Z_68\xf0D\xe9',25,6D,608,407000,136700,707,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,5700 BLOCK OF NANNIE HELEN BURROUGHS AVE NE,407000,136700,2013/01/17 23:11:00+00
3670,Possession with intent to distribute,2013,2013/01/17 05:00:00+00,18:18:00,b'\xad0\x9b\x93~\xaa\xb2',47,3D,305,398100,138500,705,7D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,1800 BLOCK OF 7TH ST NW,398100,138500,2013/01/17 23:18:00+00
3671,Possession,2013,2013/01/17 05:00:00+00,18:54:00,b'\xab\xac>\x90\xe3\xfdL',22,5D,505,401500,139200,,,B ,N ,M,Narcotics,Ucsa Poss Marijuana,2300 BLOCK OF 15TH ST NE,401500,139200,2013/01/17 23:54:00+00
3672,Possession with intent to distribute,2013,2013/01/17 05:00:00+00,19:09:00,b'D\x01\x1b\xb2\x90\xa9\x0b',34,7D,707,399600,131000,707,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,200 BLOCK OF ORANGE ST SE,399600,131000,2013/01/18 00:09:00+00
3673,Possession,2013,2013/01/17 05:00:00+00,19:51:00,b'\x00J\x92\x9a\x88\x99\xa6',41,7D,703,401200,131900,Out of State,Out of State,B ,N ,F,Narcotics,Ucsa Poss Marijuana,ELVANS RD SE / STANTON RD SE,401200,131900,2013/01/18 00:51:00+00
3674,Possession with intent to distribute,2013,2013/01/17 05:00:00+00,21:20:00,"b""?\xe0W'\x1b+\x8c""",25,6D,603,403800,135700,603,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,3500 BLOCK OF EAST CAPITOL ST SE,403800,135700,2013/01/18 02:20:00+00
3675,Possession,2013,2013/01/18 05:00:00+00,1:33:00,b'G\xfc\x1a\xfb\x03\xbc\x8e',21,3D,305,397900,138800,Out of State,Out of State,W ,U ,M,Narcotics,Ucsa Poss Marijuana,900 BLOCK OF U ST NW,397900,138800,2013/01/18 06:33:00+00
3676,Possession,2013,2013/01/18 05:00:00+00,1:33:00,b'G\xfc\x1a\xfb\x03\xbc\x8e',24,3D,305,397900,138800,Out of State,Out of State,W ,U ,M,Narcotics,Ucsa Poss Marijuana,900 BLOCK OF U ST NW,397900,138800,2013/01/18 06:33:00+00
3677,Possession,2013,2013/01/18 05:00:00+00,12:00:00,b'\xb6S\xe1\xb1\x1f\xd6@',32,6D,603,403500,136200,603,6D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,600 BLOCK OF INDIANA AVE NW,398200,136300,2013/01/18 17:00:00+00
3678,Possession,2013,2013/01/18 05:00:00+00,16:55:00,b'\x1f\xb4\xcds\x7f\xdb\xb4',27,6D,602,405900,136800,608,6D,B ,N ,F,Narcotics,Ucsa Poss Marijuana,49TH ST NE / NANNIE HELEN BURROUGHS AVE NE,405900,136800,2013/01/18 21:55:00+00
3679,Possession,2013,2013/01/18 05:00:00+00,17:27:00,"b""]\x04\xb0'>b\x1a""",39,6D,608,406200,135800,604,6D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,UNIT BLOCK OF DIVISION AVE NE,406200,135800,2013/01/18 22:27:00+00
3680,Possession,2013,2013/01/18 05:00:00+00,17:45:00,b'`-\xd8\xdesg\x86',24,3D,305,397400,138700,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Poss Marijuana,1300 BLOCK OF WAHLACAK ST NW,397400,138700,2013/01/18 22:45:00+00
3681,Possession,2013,2013/01/18 05:00:00+00,17:45:00,b'`-\xd8\xdesg\x86',24,3D,305,397400,138700,Out of State,Out of State,B ,N ,F,Narcotics,Ucsa Poss Marijuana,1300 BLOCK OF WAHLACAK ST NW,397400,138700,2013/01/18 22:45:00+00
3682,Possession,2013,2013/01/18 05:00:00+00,20:20:00,b'\xe4\\\x88y\x13\xa5\x15',59,5D,506,401300,138400,506,5D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,1800 BLOCK OF PROVIDENCE ST NE,401300,138400,2013/01/19 01:20:00+00
3683,Possession,2013,2013/01/18 05:00:00+00,20:32:00,b'\xc4\x98\x89y\x81\xe1\xa2',56,5D,506,401600,137300,108,1D,B ,U ,M,Narcotics,Ucsa Poss Marijuana,1000 BLOCK OF 16TH ST NE,396800,137200,2013/01/19 01:32:00+00
3684,Possession with intent to distribute,2013,2013/01/18 05:00:00+00,21:49:00,b'\xe6\xa6m\x1a\xeb\xe0=',28,5D,505,401400,138000,303,3D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,1200 BLOCK OF MOUNT OLIVET RD NE,401300,138000,2013/01/19 02:49:00+00
3685,Possession with intent to distribute,2013,2013/01/18 05:00:00+00,23:02:00,b'X1\xa6r\x1d.}',37,3D,305,397400,138500,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,1800 BLOCK OF 13TH ST NW,397400,138500,2013/01/19 04:02:00+00
3686,Possession,2013,2013/01/19 05:00:00+00,0:06:00,b'P\xe9\xf4\xbf\xff\rK',19,3D,302,398000,140400,302,3D,B ,H ,F,Narcotics,Ucsa Poss Marijuana,700 BLOCK OF LAMONT ST NW,398000,140400,2013/01/19 05:06:00+00
3687,Possession,2013,2013/01/19 05:00:00+00,1:41:00,b'\xec\x934\x8f\xbaPK',19,6D,608,406000,135800,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Poss Marijuana,49TH PL NE / CENTRAL AVE NE,406000,135800,2013/01/19 06:41:00+00
3688,Possession,2013,2013/01/19 05:00:00+00,2:50:00,b'\xd6\xf6\x8f%\xa6\x99\xde',Unk,3D,304,396900,139500,304,3D,B ,U ,M,Narcotics,Ucsa Poss Marijuana,2200 BLOCK OF 10TH ST NW,397700,139100,2013/01/19 07:50:00+00
3689,Possession,2013,2013/01/19 05:00:00+00,17:45:00,b'K$iS\xc0@\x19',18,3D,302,397200,140000,705,7D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,3000 BLOCK OF 14TH ST NW,397200,140000,2013/01/19 22:45:00+00
3690,Possession,2013,2013/01/19 05:00:00+00,18:55:00,b'\x8bL\xe0\xcf\xcd\x18\x11',23,6D,608,405400,135800,501,5D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,4500 BLOCK OF BENNING RD NE,405400,135800,2013/01/19 23:55:00+00
3691,Possession with intent to distribute,2013,2013/01/19 05:00:00+00,20:04:00,b'\xb6 \xf1\x92ia\xfe',26,6D,602,405200,137000,602,6D,B ,N ,F,Narcotics,Ucsa Pwid Marijuana,4300 BLOCK OF NANNIE HELEN BURROUGHS AVE NE,405200,137000,2013/01/20 01:04:00+00
3692,Possession,2013,2013/01/19 05:00:00+00,Juvenile,Juvenile,Juvenile,5D,506,0,0,501,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Poss Marijuana,Juvenile,0,0,2013/01/19 05:00:00+00
3693,Possession,2013,2013/01/20 05:00:00+00,6:49:00,b'\x1f\x82\xb7?\xee\xf3\xe8',27,1D,104,400200,136900,Out of State,Out of State,B ,U ,M,Narcotics,Ucsa Poss Marijuana,600 BLOCK OF H ST NW,400200,136900,2013/01/20 11:49:00+00
3694,Possession,2013,2013/01/20 05:00:00+00,7:00:00,b'\x02\xdb=\x1e\x9a\x0e\xbb',25,4D,406,399000,143200,408,4D,U,H ,M,Narcotics,Ucsa Poss Marijuana,UNIT BLOCK OF KENNEDY ST NW,399000,143200,2013/01/20 12:00:00+00
3695,Possession,2013,2013/01/20 05:00:00+00,13:38:00,b'\xa0\xaf\x98\xc1\xe5W\xd4',18,4D,402,397400,143900,401,4D,U,H ,M,Narcotics,Ucsa Poss Marijuana,1300 BLOCK OF PEABODY ST NW,397400,143900,2013/01/20 18:38:00+00
3696,Possession,2013,2013/01/20 05:00:00+00,15:33:00,b'3\x90L\r\x9ad\x8f',28,6D,603,404300,136100,,,B ,U ,M,Narcotics,Ucsa Poss Marijuana,CLAY PL NE / MINNESOTA AVE NE,404300,136100,2013/01/20 20:33:00+00
3697,Possession,2013,2013/01/20 05:00:00+00,16:38:00,b' \xd2CV\xa8\xd9\xfc',64,3D,305,398000,138800,305,3D,B ,U ,M,Narcotics,Ucsa Poss Marijuana,800 BLOCK OF FLORIDA AVE NW,400400,137500,2013/01/20 21:38:00+00
3698,Possession,2013,2013/01/21 05:00:00+00,0:30:00,b'\xc2NS\x96_\xa4 ',35,3D,304,398000,139800,407,4D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,700 BLOCK OF GIRARD ST NW,398000,139800,2013/01/21 05:30:00+00
3699,Possession,2013,2013/01/21 05:00:00+00,4:10:00,b'\xa72\xc2}\xfbtk',33,4D,401,397400,144900,407,4D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,1300 BLOCK OF ASPEN ST NW,397400,144900,2013/01/21 09:10:00+00
3700,Possession,2013,2013/01/21 05:00:00+00,4:27:00,b':\x9f\xe5\xed\xe1X\xbd',20,5D,506,401300,138200,103,1D,B ,U ,M,Narcotics,Ucsa Poss Marijuana,1900 BLOCK OF CAPITOL AVE NE,401300,138200,2013/01/21 09:27:00+00
3701,Possession with intent to distribute,2013,2013/01/21 05:00:00+00,20:00:00,b']K\x80\x0f\xc3\xb9\xf4',22,6D,602,405000,137100,505,5D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,MINNESOTA AVE NE / NANNIE HELEN BURROUGHS AVE NE,405000,137100,2013/01/22 01:00:00+00
3702,Possession,2013,2013/01/21 05:00:00+00,21:53:00,b'B\xa8\xf0\xa4=\xe4\xa7',19,3D,306,398200,139900,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Poss Marijuana,500 BLOCK OF GRESHAM ST NW,398200,139900,2013/01/22 02:53:00+00
3703,Possession,2013,2013/01/21 05:00:00+00,23:11:00,b'\x05J\xde\x15!u\xa1',33,3D,305,398100,138600,506,5D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,700 BLOCK OF T ST NW,398100,138600,2013/01/22 04:11:00+00
3704,Possession,2013,2013/01/21 05:00:00+00,23:17:00,b'\x05J\xde\x15!u\xa1',27,3D,305,398100,138600,506,5D,B ,U ,M,Narcotics,Ucsa Poss Marijuana,700 BLOCK OF T ST NW,398100,138600,2013/01/22 04:17:00+00
3705,Possession,2013,2013/01/22 05:00:00+00,0:27:00,b'\xf1Po\x96\x99L\x92',55,1D,108,402100,135300,505,5D,B ,U ,F,Narcotics,Ucsa Poss Marijuana,1900 BLOCK OF MASSACHUSETTS AVE SE,402100,135300,2013/01/22 05:27:00+00
3706,Possession,2013,2013/01/22 05:00:00+00,18:34:00,b'\xcc\x9b\x83\x91\x93\x1ec',24,3D,302,397300,140000,607,6D,B ,N ,M,Narcotics,Ucsa Poss Marijuana,1300 BLOCK OF COLUMBIA RD NW,397300,140000,2013/01/22 23:34:00+00
3707,Possession with intent to distribute,2013,2013/01/22 05:00:00+00,19:00:00,b'\xe5\x81\xbc\xca\x8c\xaf\xf9',26,7D,707,399800,131100,707,7D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,500 BLOCK OF NEWCOMB ST SE,400000,130900,2013/01/23 00:00:00+00
3708,Possession,2013,2013/01/22 05:00:00+00,19:00:00,b'\xe33J\xbb\xdfw\x0c',27,4D,402,396900,144000,402,4D,U,H ,M,Narcotics,Ucsa Poss Marijuana,1400 BLOCK OF ROCK CREEK FORD RD NW,396900,144000,2013/01/23 00:00:00+00
3709,Possession,2013,2013/01/22 05:00:00+00,19:32:00,b'\xe33J\xbb\xdfw\x0c',28,4D,402,396900,144000,Out of State,Out of State,U,H ,M,Narcotics,Ucsa Poss Marijuana,1400 BLOCK OF ROCK CREEK FORD RD NW,396900,144000,2013/01/23 00:32:00+00
3710,Possession with intent to distribute,2013,2013/01/22 05:00:00+00,22:15:00,b'\x8d\xfe\r\xad\xe7N\xe9',19,5D,507,402700,136700,507,5D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,2400 BLOCK OF BENNING RD NE,402700,136700,2013/01/23 03:15:00+00
